token,freq,is_rest
da andrea,14,y
elephant and castle,8,y
village den,7,y
corner bistro,5,y
rossopomodoro,5,y
minetta tavern,4,y
pitti,4,y
westville,4,y
tea and sympathy,3,y
fish camp,3,y
kish kash,3,y
pasta flyer,3,y
the den,0,y
via carota,3,y
waverly diner,3,y
artusi,3,y
barbuto,3,y
fedora,3,y
sammy's,3,y
tartine,5,y
new village den,2,y
pearl oyster bar,2,y
soup n burger,5,y
daniel bouchard,2,y
gene's,4,y
bluestone,2,y
bonbonierre,2,y
buvette,2,y
gene's,0,y
catch,2,y
cluny,2,y
l'artusi,0,y
rosemary's,2,y
rosso,0,y
sammyâ,0,y
